match_id,referee_id
1,14
2,7
3,11
4,12
5,5
6,17
7,1
8,16
9,13
10,3
11,7
12,3
13,13
14,6
15,16
16,8
17,17
18,5
19,21
20,14
21,18
22,11
23,3
24,13
25,17
26,19
27,21
28,14
29,1
30,16
31,14
32,8
33,21
34,11
35,17
36,3
37,7
38,18
39,5
40,13
41,16
42,5
43,3
44,2
45,11
46,19
47,6
48,21
49,17
50,13
51,21
52,14
53,7
54,12
55,4
56,16
57,9
58,5
59,2
60,1
61,11
62,12
63,13
64,20
65,14
66,8
67,3
68,17
69,4
70,18
71,14
72,3
73,5
74,13
75,18
76,7
77,11
78,21
79,1
80,16
81,5
82,12
83,2
84,6
85,8
86,19
87,4
88,20
89,3
90,17
91,11
92,14
93,16
94,1
95,17
96,21
97,18
98,3
99,4
100,13
101,2
102,9
103,7
104,1
105,8
106,14
107,12
108,4
109,6
110,5
111,3
112,20
113,17
114,14
115,19
116,13
117,11
118,16
119,21
120,1
121,21
122,5
123,15
124,1
125,20
126,6
127,3
128,8
129,14
130,12
131,2
132,16
133,17
134,19
135,7
136,4
137,10
138,13
139,11
140,17
141,3
142,20
143,1
144,4
145,14
146,7
147,5
148,9
149,16
150,14
151,9
152,4
153,21
154,11
155,6
156,8
157,2
158,18
159,17
160,7
161,3
162,22
163,20
164,14
165,16
166,1
167,13
168,17
169,7
170,13
171,2
172,4
173,8
174,11
175,12
176,5
177,17
178,14
179,3
180,6
181,7
182,16
183,11
184,21
185,14
186,19
187,5
188,3
189,10
190,12
191,16
192,21
193,20
194,19
195,7
196,5
197,17
198,2
199,15
200,11
201,16
202,12
203,1
204,11
205,16
206,18
207,5
208,4
209,11
210,20
211,7
212,17
213,12
214,13
215,5
216,16
217,3
218,13
219,9
220,6
221,17
222,7
223,4
224,14
225,20
226,8
227,21
228,1
229,11
230,13
231,14
232,5
233,12
234,18
235,11
236,19
237,12
238,7
239,16
240,3
241,2
242,4
243,17
244,5
245,8
246,14
247,1
248,13
249,20
250,16
251,17
252,11
253,12
254,5
255,10
256,3
257,4
258,18
259,1
260,7
261,11
262,13
263,3
264,2
265,14
266,5
267,21
268,20
269,13
270,12
271,6
272,17
273,16
274,11
275,3
276,7
277,14
278,21
279,8
280,9
281,13
282,1
283,19
284,5
285,12
286,2
287,6
288,3
289,20
290,5
291,2
292,3
293,21
294,1
295,6
296,13
297,14
298,17
299,16
300,18
301,7
302,8
303,11
304,12
305,1
306,13
307,19
308,3
309,14
310,2
311,18
312,5
313,20
314,9
315,17
316,13
317,11
318,7
319,16
320,22
321,21
322,5
323,13
324,2
325,12
326,4
327,19
328,3
329,14
330,21
331,6
332,16
333,10
334,17
335,1
336,8
337,5
338,20
339,12
340,11
341,16
342,4
343,7
344,2
345,7
346,18
347,8
348,14
349,4
350,5
351,21
352,19
353,11
354,3
355,20
356,16
357,13
358,17
359,4
360,14
361,16
362,12
363,9
364,3
365,22
366,6
367,13
368,2
369,21
370,3
371,1
372,17
373,12
374,5
375,16
376,13
377,11
378,3
379,14
380,4
